;date;heights
0;2002-07-01;3810.938
1;2002-07-03;3810.216
2;2002-08-07;3810.8790000000004
3;2002-09-11;3810.75
4;2002-10-14;3810.643
5;2002-10-16;3810.545
6;2002-11-18;3810.577
7;2002-11-20;3810.776
8;2002-12-23;3810.672
9;2002-12-25;3810.518
10;2003-01-29;3810.857
11;2003-03-05;3811.11
12;2003-05-14;3811.6090000000004
13;2003-06-16;3811.44
14;2003-06-18;3811.192
15;2003-07-21;3811.257
16;2003-07-23;3811.258
17;2003-08-25;3811.202
18;2003-08-27;3811.1740000000004
19;2003-10-01;3810.8459999999995
20;2003-11-05;3810.865
21;2004-01-12;3810.925
22;2004-01-14;3810.8520000000003
23;2004-02-16;3811.4970000000003
24;2004-02-18;3811.4509999999996
25;2004-03-22;3811.566
26;2004-03-24;3811.31
27;2004-04-26;3811.447
28;2004-04-28;3811.4440000000004
29;2004-06-02;3811.3509999999997
30;2004-07-05;3811.243
31;2004-07-07;3811.1820000000002
32;2004-08-09;3811.1290000000004
33;2004-08-11;3810.9509999999996
34;2004-09-13;3811.0290000000005
35;2004-09-15;3811.0359999999996
36;2004-10-18;3810.866
37;2004-10-20;3810.847
38;2004-11-22;3810.775
39;2004-12-27;3810.665
40;2004-12-29;3810.579
41;2005-02-02;3810.57
42;2005-03-07;3811.0609999999997
43;2005-03-09;3810.9559999999997
44;2005-04-11;3810.96
45;2005-04-13;3811.1290000000004
46;2005-05-16;3810.902
47;2005-05-18;3810.7529999999997
48;2005-06-20;3811.113
49;2005-06-22;3810.665
50;2005-07-25;3810.3309999999997
51;2005-07-27;3810.542
52;2005-08-29;3810.48
53;2005-08-31;3810.364
54;2005-10-03;3810.2870000000003
55;2005-10-05;3810.321
56;2005-11-07;3810.395
57;2005-11-09;3810.147
58;2005-12-12;3810.2929999999997
59;2005-12-14;3810.2670000000003
60;2006-01-16;3810.3540000000003
61;2006-01-18;3810.07
62;2006-02-20;3810.8059999999996
63;2006-02-22;3810.7940000000003
64;2006-03-27;3810.866
65;2006-03-29;3810.737
66;2006-05-01;3811.07
67;2006-05-03;3810.8379999999997
68;2006-06-05;3810.925
69;2006-06-07;3810.805
70;2006-07-10;3810.665
71;2006-07-12;3810.7270000000003
72;2006-08-14;3810.587
73;2006-08-16;3810.518
74;2006-09-18;3810.438
75;2006-09-20;3810.2259999999997
76;2006-10-23;3810.297
77;2006-10-25;3810.152
78;2006-11-27;3810.198
79;2007-01-01;3810.2870000000003
80;2007-01-03;3810.1009999999997
81;2007-02-05;3810.348
82;2007-02-07;3810.236
83;2007-03-14;3810.475
84;2007-04-16;3810.785
85;2007-04-18;3810.804
86;2007-05-23;3810.5290000000005
87;2007-06-25;3810.673
88;2007-06-27;3810.528
89;2007-07-30;3810.385
90;2007-08-01;3810.4590000000003
91;2007-09-03;3810.349
92;2007-09-05;3810.5370000000003
